,x,y,z,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,percentage,Source
1970-01-01 00:00:17.867259822,3.4316933155059814,-0.11525285243988037,0.7648658752441406,169.61965254,265.87130544,417.15862812,653.10096696,51.29930598,-1183.04375202,253.94189262,230.25771054,0.0,set #1
1970-01-01 00:00:17.877347550,3.4318439960479736,-0.11002575606107712,0.7660095691680908,26.028073499999998,225.4992675,264.306744,478.8615975,-119.81812049999999,-1442.048712,122.1588225,32.632587,0.24691358024691357,set #1
1970-01-01 00:00:17.887318215,3.4319636821746826,-0.1046881452202797,0.7672611474990845,-284.01057749999995,-433.5767163,2.6561145000000046,199.7493303,466.5817923,-1626.656616,-130.08525075,-177.39892755000002,0.49382716049382713,set #1
1970-01-01 00:00:17.897184453,3.432054042816162,-0.09930898994207382,0.7685232162475586,100.29497751,178.47119199,224.65924104,471.42159753000004,366.2279673,-1907.78800407,29.345817150000002,4.5487037699999995,0.7407407407407407,set #1
1970-01-01 00:00:17.907271466,3.4320693016052246,-0.09380129724740982,0.7697868943214417,-56.79471954,-162.05531082,191.76381744,390.14579136000003,417.52337796,-2037.41951946,-226.09259556,-257.38070202,0.9876543209876543,set #1
1970-01-01 00:00:17.917389474,3.432114839553833,-0.0881885513663292,0.7711953520774841,-66.02700468,41.01773832,170.40330138000002,347.53514718,128.04723828000002,-2020.76242056,-31.579743,-51.17622198,1.2345679012345678,set #1
1970-01-01 00:00:17.927315077,3.432178258895874,-0.08251679688692093,0.7727295756340027,-249.40776080999998,-193.70736216,17.507280180000002,144.52716096,303.77270508,-2096.56812222,-166.30007823000003,-234.83051787,1.4814814814814814,set #1
1970-01-01 00:00:17.937144599,3.4321882724761963,-0.07679009437561035,0.7742967009544373,79.82495586,-84.26719236000001,233.86477569000002,264.90510539999997,366.57897003,-2006.4535214100001,29.71745751,7.5696702899999995,1.728395061728395,set #1
1970-01-01 00:00:17.946982464,3.432220458984375,-0.07091020792722702,0.7759391069412231,246.40494528,463.34051712,87.57919872,132.44287680000002,-487.11718848,-2005.96447584,-69.68672256,-49.40689728,1.9753086419753085,set #1
1970-01-01 00:00:17.956961474,3.432298421859741,-0.06495488435029984,0.777696967124939,335.45519826,449.81110044,350.50057536,316.07474574,-428.8637847,-1833.7496228999998,130.90346646,95.84919552,2.2222222222222223,set #1
1970-01-01 00:00:17.967279992,3.4324252605438232,-0.05895160138607025,0.7796309590339661,-237.79142712,-338.85606456,74.42782464,-57.39233136,-850.40144592,-1817.96215224,-213.0177972,-165.70290048,2.4691358024691357,set #1
1970-01-01 00:00:17.977561078,3.4325718879699707,-0.05281494930386543,0.7816560864448547,-260.57001594,-375.21295656,-3.4378515600000004,-250.86623172,-537.90596886,-1464.5574294,-203.03260536000002,-172.60209486,2.716049382716049,set #1
1970-01-01 00:00:17.987570843,3.43269419670105,-0.04651753604412079,0.7837570309638977,377.17910451,563.5194154200001,307.77599541,151.26793968,-767.65585143,-1270.65927144,56.70048033,136.11274482,2.962962962962963,set #1
1970-01-01 00:00:17.997299514,3.4328999519348145,-0.04021156579256058,0.786020815372467,-240.12887574,-131.13217026,-17.056222560000002,-189.73476521999999,-748.96136094,-1039.26446364,-111.3203598,17.13938538,3.2098765432098766,set #1
1970-01-01 00:00:18.007405839,3.433206081390381,-0.03384917974472046,0.7884534001350403,-940.74380634,-947.66665968,-562.75204752,-891.23452197,-413.32768191,-899.46411906,-448.42142514,-302.40540291,3.45679012345679,set #1
1970-01-01 00:00:18.017129740,3.4334986209869385,-0.02738560549914837,0.7909603118896484,265.853874,452.4314808,332.396727,126.2151774,-414.78211319999997,-606.8594376,77.162007,242.5737678,3.7037037037037033,set #1
1970-01-01 00:00:18.027417741,3.433807134628296,-0.020794883370399475,0.7935200929641724,43.9127091,-157.26995739,169.37886849,-20.24731878,-744.82338138,-618.89169069,-72.23367333,-44.556243030000005,3.950617283950617,set #1
1970-01-01 00:00:18.037287078,3.4342126846313477,-0.014024614356458187,0.796277642250061,-74.45181588000003,171.38507022,-111.42654042,-391.75091280000004,-498.23476170000004,-281.30681826,34.22097978,161.2527423,4.197530864197531,set #1
1970-01-01 00:00:18.047194800,3.4346067905426025,-0.007183183450251818,0.7991924285888672,-142.679628,-240.225336,-169.05486000000002,-480.854868,-438.443148,-374.77486799999997,-71.30650800000001,-47.417604000000004,4.444444444444445,set #1
