,x,y,z,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,percentage,Source
1970-01-01 00:00:18.997466207,3.7027747631073,0.23131847381591797,1.8093628883361816,85.46082597,30.371301869999996,-477.19567272,-469.12402017,-121.72464993,23.710924379999998,-37.713011699999996,-86.83767534,0.0,set #1
1970-01-01 00:00:19.007353425,3.7027907371520996,0.23124967515468597,1.809425711631775,232.09864275,-9.042101250000002,-129.45228075,-85.2935655,-146.60955075,-2.669101500000001,-32.86954125,-117.68812575000001,0.26455026455026454,set #1
1970-01-01 00:00:19.018250585,3.7028419971466064,0.23126092553138733,1.8094638586044312,115.76284395,-38.64932175,721.41504825,356.4146664,-148.1990874,17.66278605,197.1938241,97.9205721,0.5291005291005291,set #1
1970-01-01 00:00:19.027384639,3.7029690742492676,0.23127423226833344,1.8094456195831299,171.49115022,-41.97454053,236.11181333999997,42.38826852,-118.22942898,-6.30038682,68.29618809000002,8.02531314,0.7936507936507936,set #1
1970-01-01 00:00:19.037597776,3.703218698501587,0.23131251335144043,1.8092576265335083,-92.51911968,-84.19573344,-665.93996352,-705.2934720000001,-128.55614304,-51.242530560000006,-226.8759168,-142.31007024000002,1.0582010582010581,set #1
1970-01-01 00:00:19.047902227,3.703552484512329,0.23144295811653137,1.8089072704315186,672.12740166,326.39430642,801.90940479,596.39178573,-98.71152174,-2.15273292,-60.29111283000001,-150.05434781999998,1.3227513227513228,set #1
1970-01-01 00:00:19.057406068,3.7039575576782227,0.23159602284431458,1.8084933757781982,158.77117619999999,-19.910918040000002,-166.90845912,-254.66640888,-72.79870572,22.88097708,-82.11639384,-30.4848414,1.5873015873015872,set #1
1970-01-01 00:00:19.067529798,3.7044661045074463,0.23183520138263702,1.807960033416748,-310.19044134,-320.80828962,-1332.71095698,-1053.23853258,-81.7296207,-14.832803700000001,-353.52337878000003,-242.39799947999998,1.8518518518518516,set #1
1970-01-01 00:00:19.077658534,3.7050259113311768,0.23200158774852753,1.8073194026947021,233.0395002,5.279417520000001,128.93800452,17.29811538,-100.11581736,22.82921082,-33.654099959999996,-32.99783916,2.1164021164021163,set #1
1970-01-01 00:00:19.088130594,3.7056264877319336,0.23227061331272125,1.8065022230148315,109.88496246,-209.57009892,63.09162054000001,35.47413246,-121.80518688,45.7973919,24.85512276,10.01322738,2.380952380952381,set #1
1970-01-01 00:00:19.097639680,3.7064342498779297,0.23263457417488098,1.8055535554885864,-17.279059199999995,-128.50849440000002,-861.738696,-776.1496704000001,-56.308512,7.286136000000001,-278.5131024,-88.01438879999999,2.6455026455026456,set #1
1970-01-01 00:00:19.107429385,3.707343578338623,0.2330223172903061,1.8044549226760864,-433.1704923,-549.49133265,-1078.0590249,-982.5809916000001,-123.46387365,-9.2023113,-404.8937295,-226.2395265,2.91005291005291,set #1
1970-01-01 00:00:19.118013501,3.7082390785217285,0.23343048989772797,1.8032349348068237,407.97195347999997,187.34743092,387.52273872,277.31160327,-89.04146511,15.72110397,-13.84972368,30.062134049999997,3.1746031746031744,set #1
1970-01-01 00:00:19.127421260,3.709313154220581,0.23391126096248627,1.801788330078125,-51.1206852,-195.4467918,-497.19005699999997,-497.9516568,-76.8668472,-21.643463399999998,-204.75304979999999,-64.0275402,3.439153439153439,set #1
1970-01-01 00:00:19.137514949,3.7104949951171875,0.23444297909736633,1.800224781036377,-89.68772241,-219.47671824,-212.29470990000002,-268.67501934000006,-70.91909253,-23.25424725,-245.76152484,-81.76714221,3.7037037037037033,set #1
1970-01-01 00:00:19.147202373,3.711726665496826,0.23500216007232666,1.7985405921936035,196.02779274,169.0630461,418.45475334,250.22273835,-50.13800649,45.2585094,105.94437399,250.61638563000002,3.968253968253968,set #1
1970-01-01 00:00:19.157589793,3.7131099700927734,0.2355578988790512,1.7966135740280151,-137.10846747000002,-209.52679098,-488.14254138,-560.03454546,-90.30086715,-24.67909431,-301.67034573,-95.75438223,4.232804232804233,set #1
1970-01-01 00:00:19.167731405,3.714617967605591,0.23616571724414825,1.7945102453231812,284.70805740000003,85.8531804,-70.3724385,-89.43570285,-131.09479305000002,-12.549299099999999,-227.88409215,-26.53289535,4.497354497354497,set #1
1970-01-01 00:00:19.177190185,3.7162668704986572,0.23679418861865997,1.7922866344451904,171.61675440000002,-31.045602900000006,328.01402985,102.5545287,-110.42264805,-26.20894185,-202.5033114,-32.58774675,4.761904761904762,set #1
1970-01-01 00:00:19.187698245,3.7180819511413574,0.23739159107208252,1.7898941040039062,-624.11293425,-610.3712316,-1585.1354376000002,-1416.5396427,-125.57727585,-98.28412035,-701.31379695,-349.14379695,5.026455026455026,set #1
1970-01-01 00:00:19.198061586,3.719939708709717,0.23805291950702667,1.7873116731643677,-72.08902896000001,-162.08086673999998,-178.23714714,-398.14537542,-182.99061066000002,-58.32331518,-292.10682618000004,-128.50062108,5.291005291005291,set #1
1970-01-01 00:00:19.207398296,3.7219014167785645,0.238743394613266,1.784571647644043,158.99684736,-88.77172824,104.90044968,4.3732790400000034,-120.705,-1.6987214400000008,-131.12887944,17.09105736,5.555555555555555,set #1
1970-01-01 00:00:19.218149543,3.724026679992676,0.2394060492515564,1.781684398651123,-68.33548566,-156.80716389,26.60892078000001,-204.81508632,35.99486124,20.19273204,-180.59402867999998,-69.95958372,5.82010582010582,set #1
1970-01-01 00:00:19.227329374,3.726228713989258,0.24006882309913635,1.7786333560943604,-220.35507078,-320.3155137,-577.6430852400001,-451.61161188,21.23941248,38.037207,-213.18808524,-33.92749620000001,6.084656084656085,set #1
