,x,y,z,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,percentage,Source
1970-01-01 00:00:44.137804155,3.9492909908294678,-0.16139435768127441,1.4737212657928467,131.0862462,197.0576049,-322.7395665,-225.21689775000002,-46.89895665,716.9646568500001,-50.143858050000006,23.13909,0.0,set #1
1970-01-01 00:00:44.147670154,3.949381113052368,-0.16138949990272522,1.4742790460586548,389.03779512,218.62842455999998,756.3224167200001,575.36927136,-204.94284564,812.56885164,698.05351824,683.80242606,0.05037783375314862,set #1
1970-01-01 00:00:44.157317047,3.949465274810791,-0.1613205224275589,1.474809169769287,346.59593514,308.60626914,277.22671119,295.84295481000004,-298.51301376000004,690.71837328,66.7255992,78.05465421,0.10075566750629723,set #1
1970-01-01 00:00:44.167412405,3.9495439529418945,-0.1611993908882141,1.475188970565796,-527.89459125,-391.8785871,-939.72057465,-276.40887105,-189.80716755,663.66646125,42.6714405,136.5262743,0.15113350125944586,set #1
1970-01-01 00:00:44.177147750,3.9496800899505615,-0.16101007163524628,1.4753855466842651,781.13919,655.0363950000001,729.7269525,787.3229325000001,-61.930245000000006,654.84549,85.485855,212.38776000000001,0.20151133501259447,set #1
1970-01-01 00:00:44.188310031,3.9498484134674072,-0.16065600514411926,1.4754633903503418,794.0026926,635.8749126600001,822.16795557,817.65637395,-147.22084611,633.6255385200001,116.40790122,350.20693383,0.2518891687657431,set #1
1970-01-01 00:00:44.197484140,3.9500439167022705,-0.16029198467731476,1.4754693508148193,767.9059986,765.3371388,1214.3366586000002,932.564646,-307.7256234,650.365365,444.4661598,598.198146,0.3022670025188917,set #1
1970-01-01 00:00:44.207950477,3.950254201889038,-0.15980632603168488,1.4753493070602417,-377.99043126,-452.79388635,-121.80075375,-8.556254460000002,-136.23775659,560.54960442,-67.53467214,107.57718816,0.3526448362720403,set #1
1970-01-01 00:00:44.217120294,3.9504189491271973,-0.159150168299675,1.4750381708145142,-502.98722058000004,-512.87684916,-133.66784339999998,16.397134259999994,-249.98839164,434.53215546,-219.73472664000002,-178.67369832,0.40302267002518893,set #1
1970-01-01 00:00:44.227591638,3.9506802558898926,-0.15839451551437378,1.474609375,622.6647117599999,455.93345772,433.12985118,564.4168959,-243.8179068,474.76424502,297.215295,262.71838632000004,0.45340050377833757,set #1
1970-01-01 00:00:44.237687234,3.950955629348755,-0.1576301008462906,1.4741765260696411,271.56944802000004,298.4288307,38.218355759999994,177.11892042,-113.86423152,384.40806612,89.04696605999999,126.54338892,0.5037783375314862,set #1
1970-01-01 00:00:44.247669820,3.9512577056884766,-0.15686531364917755,1.473663330078125,601.7499384,550.3315818,1432.8601014,1304.7059532,1.2323609999999996,424.602828,494.41085460000005,453.99771300000003,0.5541561712846348,set #1
1970-01-01 00:00:44.257744436,3.9515693187713623,-0.15595129132270813,1.4730719327926636,62.576899319999995,17.0290614,-338.01203904,-22.994566919999997,-49.092409079999996,349.64323524,-15.640689479999999,105.58855164000002,0.6045340050377834,set #1
1970-01-01 00:00:44.267325286,3.9519765377044678,-0.15498694777488708,1.4723923206329346,-311.45886174000003,-210.71124594,-570.3323847,-329.69693874,-42.640076699999995,293.19129216000005,-382.28424624,-168.8273847,0.6549118387909321,set #1
1970-01-01 00:00:44.277260665,3.952428102493286,-0.15397626161575317,1.4717700481414795,148.02812115,151.1732001,131.63539935,283.96538625,45.45812115,333.08776995,181.5366813,202.0033626,0.7052896725440806,set #1
1970-01-01 00:00:44.287821416,3.9528634548187256,-0.15289942920207977,1.4711910486221313,185.11001808,190.54274927999998,272.42667816000005,300.41037936000004,118.28175216,255.3668208,249.9765372,282.90440568,0.7556675062972292,set #1
1970-01-01 00:00:44.297374372,3.9532995223999023,-0.1517491489648819,1.470503568649292,258.22213716,246.58288824,28.78749276,89.2139586,12.021411480000001,195.95147676,165.21202464,167.88225324,0.8060453400503779,set #1
1970-01-01 00:00:44.307510023,3.9537267684936523,-0.15048716962337494,1.470027208328247,-172.12892892000002,-126.84202128,-831.74222196,-478.40792493000004,-126.81164652,120.55344717,-330.62785119,-169.79629836,0.8564231738035265,set #1
1970-01-01 00:00:44.317651634,3.954193115234375,-0.14912278950214386,1.4696711301803589,155.55825636,150.06996107999998,530.7046095000001,475.92898157999997,-104.99131421999999,196.23678515999998,342.71160612,327.7414686,0.9068010075566751,set #1
1970-01-01 00:00:44.327619438,3.9547290802001953,-0.14772264659404755,1.4691977500915527,202.3168485,149.85818874,725.52876318,681.00940362,-47.02422738,198.86985768,182.92872078,144.15523044,0.9571788413098237,set #1
1970-01-01 00:00:44.340132122,3.955165147781372,-0.14609824120998383,1.4688907861709595,268.03330866,275.48985048,306.63657648,290.83449018,-222.8283096,182.40487278,158.69937720000001,190.3389813,1.0075566750629723,set #1
1970-01-01 00:00:44.347382431,3.955625534057617,-0.1443086415529251,1.4686414003372192,128.16085191000002,161.76243642,20.791305599999998,57.64371795,-283.69074045,154.66770696,33.140684459999996,78.5007483,1.057934508816121,set #1
1970-01-01 00:00:44.357738142,3.9561069011688232,-0.1424257904291153,1.468489170074463,99.93408204,31.515297840000002,-194.60856245999997,-47.6244834,57.39282978000001,50.561644380000004,-44.990212799999995,-27.649881480000005,1.1083123425692696,set #1
1970-01-01 00:00:44.367449169,3.9565505981445312,-0.14041878283023834,1.4683294296264648,322.35385533,270.32412654,673.52600172,603.9247227000001,187.29874176,53.36690814,290.81209014,242.10098094,1.1586901763224182,set #1
