,x,y,z,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,percentage,Source
1970-01-01 00:00:25.957984743,3.5024616718292236,-0.2860497534275055,0.7388312816619873,430.19787369,98.48386743,13.102896690000001,-34.86438813,1906.42072023,1204.43848473,-267.84418362,-1.1681225400000024,0.0,set #1
1970-01-01 00:00:25.968283233,3.5023460388183594,-0.28333690762519836,0.7388530969619751,427.10700045,338.53220037,39.281078459999996,-164.42970413999998,1076.18458233,1254.39878265,-325.81257384,-321.61217400000004,0.27932960893854747,set #1
1970-01-01 00:00:25.977712926,3.5022268295288086,-0.28049060702323914,0.7388976216316223,542.1998641800001,678.4448736,144.25994622,17.4995886,-744.8939456399999,648.7939177200001,153.71723718,173.85851574,0.5586592178770949,set #1
1970-01-01 00:00:25.987573204,3.502112627029419,-0.2774909436702728,0.7389954328536987,119.16497892,530.5821144,-356.9022522,-526.7677037999999,334.19412,667.82493492,-182.65843284,40.0272522,0.8379888268156424,set #1
1970-01-01 00:00:25.997267780,3.502000570297241,-0.2743287682533264,0.7391208410263062,813.5547108000001,1014.049803,60.651513,86.7180678,1742.2231554,346.3771584,159.0294342,196.8367518,1.1173184357541899,set #1
1970-01-01 00:00:26.008051214,3.5018515586853027,-0.2710554003715515,0.7392682433128357,293.78111958000005,595.70843904,161.73090726,-179.54010126,-1800.54891744,-85.57392792,49.36415562,-390.5324787,1.3966480446927374,set #1
1970-01-01 00:00:26.017880973,3.501762628555298,-0.2676407992839813,0.7394953966140747,-437.78448675,48.34119537,296.02846689,-62.19551325,-1852.63174122,-2643.4008276000004,303.3301986,-741.62784423,1.6759776536312847,set #1
1970-01-01 00:00:26.027375516,3.5016558170318604,-0.26414597034454346,0.7397730946540833,347.85368748,900.53736864,759.8509058400001,391.26468264,-2346.9894630000003,-3619.70792352,2385.3337232400004,-2579.82172344,1.9553072625698322,set #1
1970-01-01 00:00:26.037709054,3.501582384109497,-0.26051804423332214,0.7400720119476318,183.55670658,421.68939228,1609.71942612,617.33885382,-2178.04075944,-3943.83535104,667.45086096,-1327.2340497,2.2346368715083798,set #1
1970-01-01 00:00:26.047600088,3.5015180110931396,-0.2567079961299896,0.7404593825340271,-1297.5166152,-443.19536039999997,3334.09327368,-697.15288032,-1209.52220376,-4189.7149164,-586.3631124,-645.57036336,2.513966480446927,set #1
1970-01-01 00:00:26.057860431,3.5014562606811523,-0.25268861651420593,0.7409249544143677,-336.5165349,238.06805022,4066.77465753,-25.511204549999995,3359.90997576,-4352.16775188,-400.0935978,-273.38828361000003,2.793296089385475,set #1
1970-01-01 00:00:26.067584810,3.5014283657073975,-0.2485174983739853,0.741478443145752,349.8512901,450.95951940000003,3143.688834,456.7532151,1411.3426158,-3780.2196080999997,-348.8332497,-257.612238,3.072625698324022,set #1
1970-01-01 00:00:26.077391920,3.501499891281128,-0.24407359957695007,0.7421309947967529,512.4741336,543.8644224000001,1771.8689352,529.2590784,1732.1740176,-3321.8328,-916.8514992,37.2674952,3.3519553072625694,set #1
1970-01-01 00:00:26.087364015,3.5016205310821533,-0.239375501871109,0.7428529262542725,-21.9091158,-407.730219,837.1293957,-133.33760505,3337.1605605,-1194.5851827000001,-977.715219,-15.394522649999999,3.631284916201117,set #1
1970-01-01 00:00:26.097587165,3.501821279525757,-0.23431357741355896,0.7437160015106201,443.57676285,-296.45979090000003,269.93633355,-551.19744615,6388.9800000000005,896.2801243499999,-1805.0963502,189.3637005,3.9106145251396645,set #1
1970-01-01 00:00:26.108204660,3.5021042823791504,-0.22918380796909332,0.7446455359458923,524.0892696,-1025.029512,-1103.5052574000001,392.65068180000003,5956.364645400001,1634.366487,-1329.3196566000001,979.4110794000001,4.189944134078212,set #1
1970-01-01 00:00:26.117609796,3.50247859954834,-0.223885640501976,0.7456595301628113,433.34505396,-169.47061248,-2181.409308,754.76093472,5085.969621720001,3289.50228672,-423.41551668,199.28951172,4.4692737430167595,set #1
1970-01-01 00:00:26.128309545,3.5029103755950928,-0.21838095784187317,0.7467678189277649,676.45745115,489.7873071,-2558.4892242,962.1324511500001,2625.27525975,3999.588294,-91.76497395,531.31256685,4.748603351955307,set #1
